model_line,model_family,size_slot,proxy_status,total_proxy_samples,generated_response_count,valid_response_rate,persisted_checkpoint_pct,route_model_name,route_short_label,latest_successful_eval_created_at,latest_proxy_artifact_updated_at,limitation_flag,notes
Qwen-S,Qwen,S,Proxy complete,n/a,n/a,n/a,n/a,openrouter/qwen/qwen3-8b,qwen3-8b,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Frozen Option 1 line."
Qwen-M,Qwen,M,Queued,n/a,n/a,n/a,n/a,openrouter/qwen/qwen3-14b,qwen3-14b,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Clean text rerun active after withdrawn short-answer artifacts."
Qwen-L,Qwen,L,Queued,n/a,n/a,n/a,n/a,openrouter/qwen/qwen3-32b,qwen3-32b,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. SMID recovery complete; clean text rerun active."
DeepSeek-S,DeepSeek,S,No route,n/a,n/a,n/a,n/a,No distinct small OpenRouter route exposed,no-route,n/a,n/a,missing_route,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. No distinct public Denevil route is fixed for this size slot yet."
DeepSeek-M,DeepSeek,M,Queued,n/a,n/a,n/a,n/a,openrouter/deepseek/deepseek-r1-distill-llama-70b (DeepInfra-pinned recovery route),deepseek-r1-distill-llama-70b,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. No vision route; queued behind the live Llama-M rerun."
DeepSeek-L,DeepSeek,L,Proxy complete,n/a,n/a,n/a,n/a,openrouter/deepseek/deepseek-chat-v3.1,deepseek-chat-v3.1,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Frozen large text line; no SMID route was included."
Llama-S,Llama,S,Proxy complete,n/a,n/a,n/a,n/a,openrouter/meta-llama/llama-3.2-11b-vision-instruct,llama-3.2-11b-vision-instruct,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Complete locally across all five papers."
Llama-M,Llama,M,Queued,n/a,n/a,n/a,n/a,openrouter/meta-llama/llama-3.3-70b-instruct,llama-3.3-70b-instruct,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. No SMID run is planned. UniMoral is complete. The live rerun checkpoint text is refreshed from the local artifacts at build time when those files are available."
Llama-L,Llama,L,Queued,n/a,n/a,n/a,n/a,openrouter/meta-llama/llama-4-maverick,llama-4-maverick,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. SMID done; text is still queued."
Gemma-S,Gemma,S,Proxy complete,n/a,n/a,n/a,n/a,openrouter/google/gemma-3-4b-it,gemma-3-4b-it,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Frozen Option 1 recovery line."
Gemma-M,Gemma,M,Proxy complete,n/a,n/a,n/a,n/a,openrouter/google/gemma-3-12b-it,gemma-3-12b-it,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Complete local line across all five papers."
Gemma-L,Gemma,L,Proxy complete,n/a,n/a,n/a,n/a,openrouter/google/gemma-3-27b-it,gemma-3-27b-it,n/a,n/a,missing_proxy_artifact,"Proxy-only coverage and traceability evidence, not benchmark-faithful ethical-quality scoring. Complete local line across all five papers."
